article_uuid,SDG ID
ce9a4bb9-d44e-40d8-a9d2-22ab019d6a13,10
ce9a4bb9-d44e-40d8-a9d2-22ab019d6a13,12
4bdecfa7-44a9-4ce5-9c8b-e17d6eb7768d,9
4bdecfa7-44a9-4ce5-9c8b-e17d6eb7768d,16
4bdecfa7-44a9-4ce5-9c8b-e17d6eb7768d,8
b6654892-99ef-439e-9386-abe4d8b4fd2b,12
b6654892-99ef-439e-9386-abe4d8b4fd2b,11
b3398a47-9719-4d37-a9c8-594d2e0730f7,7
b3398a47-9719-4d37-a9c8-594d2e0730f7,9
dc31a5e5-a0a8-4ab6-b393-5c5a2bc69bb7,3
0b573bc8-fea2-4549-88cb-a07d49201325,6
0b573bc8-fea2-4549-88cb-a07d49201325,2
b6268bdc-c4e0-4098-890b-6eab0637e5a7,3
e163c3ba-3ab3-470e-b02c-4d9c93db9336,7
e163c3ba-3ab3-470e-b02c-4d9c93db9336,9
e163c3ba-3ab3-470e-b02c-4d9c93db9336,13
245fffc6-fc23-4abc-b555-423cca7b94d6,3
a459e3ec-3967-4252-b8e4-594c2b92af6b,3
50ba0f35-8439-4ea8-a987-4f7191564f98,6
50ba0f35-8439-4ea8-a987-4f7191564f98,10
50ba0f35-8439-4ea8-a987-4f7191564f98,2
d90d604e-b901-45df-b1ef-afb6886c8b44,2
d90d604e-b901-45df-b1ef-afb6886c8b44,3
d90d604e-b901-45df-b1ef-afb6886c8b44,1
fdf74069-c399-4097-b95a-dd9d6be0d25b,3
8c014a98-9dc9-4883-b6a3-0cab8e230753,3
8c014a98-9dc9-4883-b6a3-0cab8e230753,8
cad0fd23-930e-48d6-91ac-2c752b7e4096,13
cad0fd23-930e-48d6-91ac-2c752b7e4096,3
d3585676-9d94-43cc-afd7-2f8e5fcd8541,3
d3585676-9d94-43cc-afd7-2f8e5fcd8541,13
933267af-90cb-4939-a2e7-84087d249a1f,9
933267af-90cb-4939-a2e7-84087d249a1f,8
f8810ab7-230f-4c1c-b932-d79d59f67bdc,3
f8810ab7-230f-4c1c-b932-d79d59f67bdc,13
eb22b10f-a07a-422b-9128-6851baffdaef,2
eb22b10f-a07a-422b-9128-6851baffdaef,1
eb22b10f-a07a-422b-9128-6851baffdaef,3
5871912d-bfc9-4adf-9c4a-9d7cd1917ff0,12
5871912d-bfc9-4adf-9c4a-9d7cd1917ff0,1
d159009f-7ec1-457a-9de0-a086c7fb33d2,1
d159009f-7ec1-457a-9de0-a086c7fb33d2,10
d159009f-7ec1-457a-9de0-a086c7fb33d2,12
ee876959-c7f2-4074-b35a-27a40a901cf4,10
ee876959-c7f2-4074-b35a-27a40a901cf4,4
efc8c0da-0d6e-4ad9-8c32-18f80a9e1cfa,17
efc8c0da-0d6e-4ad9-8c32-18f80a9e1cfa,16
f08ab8bc-1d3b-4a47-9cdb-61cbd227d1f2,3
f08ab8bc-1d3b-4a47-9cdb-61cbd227d1f2,9
a185a5cc-f282-42bf-bd6f-238457d2d38b,3
a185a5cc-f282-42bf-bd6f-238457d2d38b,8
1056cecc-6cdf-43a4-8e5f-1d809d28b18f,3
1056cecc-6cdf-43a4-8e5f-1d809d28b18f,10
b5d870c9-2f1c-46a2-8a07-7ed79f640c01,3
b5d870c9-2f1c-46a2-8a07-7ed79f640c01,10
b1ee50fe-d5fb-49b2-aafb-c4ecb07091be,3
b1ee50fe-d5fb-49b2-aafb-c4ecb07091be,8
025e0d9e-da02-4834-b633-3b6155f55603,3
05c3af7b-2f8e-43f0-8f03-a53baa4225c9,3
05c3af7b-2f8e-43f0-8f03-a53baa4225c9,8
8ef8c981-0643-430d-9769-37ffd3db32e6,12
